gpuName,G3Dmark,G2Dmark,price,gpuValue,TDP,powerPerformance,testDate,category,price_per_watt
Quadro P2000,7096,692,542.0,13.09,75.0,94.61,2017,Workstation,7.226666666666667
Quadro M5000M,6807,482,546.92,12.45,100.0,68.07,2016,"Mobile, Workstation",5.4692
Quadro M4000,6644,689,362.0,18.35,120.0,55.37,2015,Workstation,3.0166666666666666
Quadro M4000M,6530,471,254.91,25.62,100.0,65.3,2015,"Mobile, Workstation",2.5491
GeForce GTX 1050 Ti,6314,651,189.42,33.33,75.0,84.18,2016,Desktop,2.5256
Radeon R9 380,6275,675,89.99,69.73,190.0,33.02,2016,Desktop,0.4736315789473684
Radeon R9 380X,6189,670,349.99,17.68,190.0,32.57,2015,Desktop,1.8420526315789474
FirePro W9000,6138,720,845.0,7.26,274.0,22.4,2012,Workstation,3.0839416058394162
GeForce GTX 960,6042,671,172.0,35.13,120.0,50.35,2015,Desktop,1.4333333333333333
GeForce GTX 770,5892,551,249.0,23.66,230.0,25.62,2013,Desktop,1.0826086956521739
Quadro K5200,5780,501,415.0,13.93,150.0,38.54,2014,Workstation,2.7666666666666666
GeForce GTX 970M,5761,406,209.99,27.44,75.0,76.82,2014,Mobile,2.799866666666667
Quadro M3000M,5678,432,159.95,35.5,75.0,75.71,2015,"Mobile, Workstation",2.1326666666666667
GeForce GTX 690,5654,458,280.99,20.12,300.0,18.85,2012,Desktop,0.9366333333333333
Radeon HD 7990,5566,766,399.99,13.91,375.0,14.84,2013,Desktop,1.06664
Radeon R9 285 / 380,5550,655,485.0,11.44,190.0,29.21,2015,Desktop,2.5526315789473686
GeForce GTX 680,5535,528,399.0,13.87,195.0,28.38,2012,Desktop,2.046153846153846
Radeon Pro WX 5100,5511,820,550.95,10.0,75.0,73.47,2016,Workstation,7.346000000000001
GeForce GTX 950,5392,641,141.99,37.98,90.0,59.91,2015,Desktop,1.5776666666666668
GeForce GTX 670,5304,523,193.98,27.34,170.0,31.2,2012,Desktop,1.1410588235294117
Radeon HD 7970 / R9 280X,5248,730,246.99,21.25,250.0,20.99,2012,Desktop,0.9879600000000001
GeForce GTX 760 Ti,5206,555,297.5,17.5,170.0,30.62,2014,Desktop,1.75
FirePro W7100,5175,667,389.3,13.29,150.0,34.5,2015,Workstation,2.5953333333333335
Radeon R9 M295X,5150,832,1449.0,3.55,125.0,41.2,2014,Mobile,11.592
GeForce GTX 1050,5090,475,203.1,25.06,75.0,67.86,2016,Desktop,2.7079999999999997
Radeon R9 270X,4923,607,326.5,15.08,180.0,27.35,2013,Desktop,1.8138888888888889
GeForce GTX 760,4775,523,149.0,32.05,170.0,28.09,2013,Desktop,0.8764705882352941
Radeon HD 7950 / R9 280,4765,691,259.98,18.33,200.0,23.82,2012,Desktop,1.2999
Radeon R9 370,4722,781,159.99,29.51,150.0,31.48,2016,Desktop,1.0666
Radeon HD 7870,4661,587,176.0,26.49,175.0,26.64,2012,Desktop,1.0057142857142858
GeForce GTX 580,4538,456,139.92,32.43,244.0,18.6,2012,Desktop,0.5734426229508196
Quadro P1000,4466,659,213.2,20.95,47.0,95.02,2017,Workstation,4.536170212765957
GeForce GTX 660 Ti,4367,449,144.0,30.33,150.0,29.11,2012,Desktop,0.96
Quadro M2200,4342,385,249.99,17.37,55.0,78.95,2017,"Mobile, Workstation",4.545272727272727
Quadro K4200,4337,502,249.0,17.42,105.0,41.31,2014,Workstation,2.3714285714285714
FirePro W7000,4276,551,278.05,15.38,150.0,28.51,2012,Workstation,1.8536666666666668
Radeon R9 270 / R7 370,4260,645,213.16,19.98,150.0,28.4,2013,Desktop,1.4210666666666667
FirePro S7000,4166,615,246.54,16.9,150.0,27.77,2014,Workstation,1.6436
